VOR_Picker,VOR_Lines,Date
116,22,5/18/2006
116,3,5/18/2006
469,54,5/18/2006
468,51,5/18/2006
459,51,5/18/2006
515,51,5/18/2006
282,21,5/18/2006
455,8,5/18/2006
478,26,5/18/2006
262,19,5/18/2006
262,25,5/18/2006
9003,23,5/18/2006
478,29,5/18/2006
459,28,5/18/2006
468,25,5/18/2006
116,31,5/18/2006
9004,27,5/18/2006
116,3,5/18/2006
478,36,5/18/2006
9003,12,5/18/2006
459,25,5/18/2006
9003,10,5/18/2006
9004,21,5/18/2006
478,18,5/18/2006
458,3,5/18/2006
515,8,5/18/2006
515,34,5/18/2006
9003,25,5/18/2006
478,24,5/18/2006
282,19,5/18/2006
458,8,5/18/2006
459,22,5/18/2006
437,49,5/18/2006
203,11,5/18/2006
478,19,5/18/2006
459,30,5/18/2006
515,34,5/18/2006
478,22,5/18/2006
469,57,5/18/2006
282,50,5/18/2006
9004,20,5/18/2006
262,41,5/18/2006
9003,25,5/18/2006
269,32,5/18/2006
459,45,5/18/2006
515,26,5/18/2006
209,2,5/18/2006
282,28,5/18/2006
116,106,5/18/2006
116,43,5/18/2006
209,5,5/18/2006
515,41,5/18/2006
455,36,5/18/2006
116,3,5/18/2006
116,1,5/18/2006
262,45,5/18/2006
268,1,5/18/2006
209,20,5/18/2006
469,23,5/18/2006
437,33,5/18/2006
116,5,5/18/2006
116,2,5/18/2006
515,22,5/18/2006
209,2,5/18/2006
9003,17,5/18/2006
209,1,5/18/2006
282,49,5/18/2006
116,14,5/18/2006
116,1,5/18/2006
515,20,5/18/2006
9003,27,5/18/2006
269,24,5/18/2006
478,25,5/18/2006
437,51,5/18/2006
116,3,5/18/2006
116,14,5/18/2006
209,26,5/18/2006
478,28,5/18/2006
437,24,5/18/2006
9003,28,5/18/2006
209,5,5/18/2006
i,6,12/31/2007
930,28,12/31/2007
909,22,12/31/2007
904,25,12/31/2007
469,28,12/31/2007
282,26,12/31/2007
508,33,12/31/2007
i,23,12/31/2007
909,45,12/31/2007
469,25,12/31/2007
282,25,12/31/2007
930,25,12/31/2007
904,25,12/31/2007
508,28,12/31/2007
209,1,12/31/2007
508,5,12/31/2007
469,14,12/31/2007
i,1,12/31/2007
469,10,12/31/2007
469,25,12/31/2007
904,18,12/31/2007
i,2,12/31/2007
508,23,12/31/2007
469,19,12/31/2007
282,5,12/31/2007
282,11,12/31/2007
904,22,12/31/2007
508,8,12/31/2007
909,6,12/31/2007
,12,12/31/2007
10123,0,2/22/2013
