DealerInvoice,Comments
08130,"Must Indicate ""Lift Gate Delivery Only"" on bill of Lading"
28053,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
35024,LIFT GATE
36068,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
41105,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
41117,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
50015,HI
60313,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
60358,100%
60610,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
60615,100% AUDIT
60887,100% AUDIT
60899,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
61112,"PACK IN SEA CRATES, IF NO SEA CRATES WRAP ON A PALLET"
61154,MUST BE SHIPPED VIA UPS ONLY ON ALL SHIPMENTS
61619,100% AUDIT
61927,100% AUDIT
62815,100% AUDIT/SHIP AMERICAN
63040,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
63136,lift gate
63318,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
64195,100% AUDIT
64411,100% AUDIT
64422,100% AUDIT
64903,ALASKA
65005,HI
74105,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
76002,
D0BVL,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0CFC,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0CWY,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0FF3,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0FGX,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0FMD,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0G0ZA2046,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0HFQ,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0HZY,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0J04,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0J2W,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0J49,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0JHM,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0JSF,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0K0C,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0KM5,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0LKT,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0LPV,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0LQJ,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0NIK,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
d0p4p,ak
D0Q77,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0QB5,AK
D0QMM,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0RF5,PR
D0SBR,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
D0STT,"MUST INDICATE ""LIFT GATE DELIVERY ONLY"" ON BILL OF LADING"
GMSPO,100% AUDIT -CHECK ALL BAR CODES
IA100,100% AUDIT
LA577,100% AUDIT
NJ100,100% AUDIT - DO NOT REMOVE
PTCUR,CINCINNATI ONLY - CALL ISUZU; ASC DEALER
PTECU,CINCINNATI ONLY - CALL ISUZU; ASC DEALER
PTPER,GIVE TO SAL
TKING,READ AND FOLLOW COMMENT SECTION
US146,MUST STAY ON LIST WE CAN NOT REMOVE (PER LANA)
USHTP,100% AUDIT - DO NOT REMOVE
USSPO,AUDIT ALL LABELS
XC757,"MUST PACK IN ""SEA CRATES"" ONLY"
